start_sec,end_sec,start_time,end_time,num_detections,character_count,emotion_count,avg_mismatch,emotion_entropy,transition_score,avg_emotion_confidence,highlight_score
215,220,03:35,03:40,1,1,1,0.5,-5.13898384632941e-10,0.0,0.6301687955856323,0.24499999987152543
540,545,09:00,09:05,1,1,1,0.5,-5.13898384632941e-10,0.0,0.43590933084487915,0.24499999987152543
1130,1135,18:50,18:55,1,1,1,0.5,-5.13898384632941e-10,0.0,0.46448415517807007,0.24499999987152543
1280,1285,21:20,21:25,1,1,1,0.5,-5.13898384632941e-10,0.0,0.5601859092712402,0.24499999987152543
1405,1410,23:25,23:30,1,1,1,0.5,-5.13898384632941e-10,0.0,0.6435754299163818,0.24499999987152543
1365,1370,22:45,22:50,1,1,1,0.5,-5.13898384632941e-10,0.0,0.286270409822464,0.24499999987152543
1725,1730,28:45,28:50,1,1,1,0.5,-5.13898384632941e-10,0.0,0.29064279794692993,0.24499999987152543
1400,1405,23:20,23:25,1,1,1,0.5,-5.13898384632941e-10,0.0,0.2631681263446808,0.24499999987152543
940,945,15:40,15:45,1,1,1,0.5,-5.13898384632941e-10,0.0,0.23372624814510345,0.24499999987152543
1080,1085,18:00,18:05,1,1,1,0.5,-5.13898384632941e-10,0.0,0.4098542332649231,0.24499999987152543
980,985,16:20,16:25,1,1,1,0.5,-5.13898384632941e-10,0.0,0.4449402391910553,0.24499999987152543
1030,1035,17:10,17:15,1,1,1,0.5,-5.13898384632941e-10,0.0,0.3388427495956421,0.24499999987152543
725,730,12:05,12:10,5,2,2,0.22000000000000003,0.257155974946284,0.2,0.3938497692346573,0.24328899373657104
285,290,04:45,04:50,2,2,1,0.45,-5.13898384632941e-10,0.0,0.5185582637786865,0.24249999987152543
1750,1755,29:10,29:15,4,4,2,0.2,0.28898309764806296,0.0,0.41471728682518005,0.24224577441201578
900,905,15:00,15:05,3,2,2,0.26666666666666666,0.3271035749537682,0.0,0.4092308133840561,0.24177589373844205
485,490,08:05,08:10,2,2,2,0.25,0.3562071860802255,0.0,0.5349922031164169,0.2415517965200564
360,365,06:00,06:05,2,2,2,0.25,0.3562071860802255,0.0,0.6046071350574493,0.2415517965200564
35,40,00:35,00:40,2,2,2,0.25,0.3562071860802255,0.0,0.5013956129550934,0.2415517965200564
50,55,00:50,00:55,2,2,2,0.25,0.3562071860802255,0.0,0.5081512928009033,0.2415517965200564
1095,1100,18:15,18:20,4,2,2,0.25,0.3562071860802255,0.0,0.4868431091308594,0.2415517965200564
1160,1165,19:20,19:25,2,2,2,0.25,0.3562071860802255,0.0,0.4992069751024246,0.2415517965200564
520,525,08:40,08:45,2,1,2,0.2,0.3562071860802255,0.2,0.3451159745454788,0.23905179652005637
1510,1515,25:10,25:15,2,2,1,0.4,-5.13898384632941e-10,0.0,0.31048765778541565,0.21999999987152544
720,725,12:00,12:05,4,2,1,0.4,-5.13898384632941e-10,0.0,0.46792786568403244,0.21999999987152544
1010,1015,16:50,16:55,3,1,2,0.16666666666666666,0.3271035749537682,0.2,0.47833608587582904,0.21677589373844203
105,110,01:45,01:50,3,1,2,0.16666666666666666,0.3271035749537682,0.2,0.4614017605781555,0.21677589373844203
1025,1030,17:05,17:10,1,1,1,0.4,-5.13898384632941e-10,0.0,0.7632705569267273,0.19999999987152545
1120,1125,18:40,18:45,1,1,1,0.4,-5.13898384632941e-10,0.0,0.33371973037719727,0.19999999987152545
565,570,09:25,09:30,1,1,1,0.4,-5.13898384632941e-10,0.0,0.30318760871887207,0.19999999987152545
125,130,02:05,02:10,1,1,1,0.4,-5.13898384632941e-10,0.0,0.6660477519035339,0.19999999987152545
1005,1010,16:45,16:50,1,1,1,0.4,-5.13898384632941e-10,0.0,0.6181228160858154,0.19999999987152545
1335,1340,22:15,22:20,1,1,1,0.4,-5.13898384632941e-10,0.0,0.556642472743988,0.19999999987152545
1460,1465,24:20,24:25,1,1,1,0.4,-5.13898384632941e-10,0.0,0.38761910796165466,0.19999999987152545
710,715,11:50,11:55,1,1,1,0.4,-5.13898384632941e-10,0.0,0.3057645559310913,0.19999999987152545
85,90,01:25,01:30,1,1,1,0.4,-5.13898384632941e-10,0.0,0.47596684098243713,0.19999999987152545
915,920,15:15,15:20,3,2,1,0.26666666666666666,-5.13898384632941e-10,0.0,0.4588685830434163,0.1599999998715254
550,555,09:10,09:15,2,2,1,0.2,-5.13898384632941e-10,0.0,0.5202994346618652,0.12999999987152544
1715,1720,28:35,28:40,2,2,1,0.2,-5.13898384632941e-10,0.0,0.5071224868297577,0.12999999987152544
955,960,15:55,16:00,2,2,1,0.2,-5.13898384632941e-10,0.0,0.5045833438634872,0.12999999987152544
1380,1385,23:00,23:05,2,2,1,0.2,-5.13898384632941e-10,0.0,0.4208185523748398,0.12999999987152544
145,150,02:25,02:30,2,2,1,0.2,-5.13898384632941e-10,0.0,0.5219532698392868,0.12999999987152544
1475,1480,24:35,24:40,2,2,2,0.0,0.3562071860802255,0.0,0.4633120894432068,0.12905179652005638
695,700,11:35,11:40,2,2,2,0.0,0.3562071860802255,0.0,0.40439586341381073,0.12905179652005638
525,530,08:45,08:50,2,2,2,0.0,0.3562071860802255,0.0,0.4072233736515045,0.12905179652005638
1605,1610,26:45,26:50,2,2,2,0.0,0.3562071860802255,0.0,0.5169207602739334,0.12905179652005638
300,305,05:00,05:05,3,2,1,0.13333333333333333,-5.13898384632941e-10,0.0,0.40689655145009357,0.09999999987152541
10,15,00:10,00:15,1,1,1,0.0,-5.13898384632941e-10,0.0,0.4828723967075348,0.01999999987152541
100,105,01:40,01:45,2,1,1,0.0,-5.13898384632941e-10,0.0,0.5362698435783386,0.01999999987152541
110,115,01:50,01:55,1,1,1,0.0,-5.13898384632941e-10,0.0,0.7824407815933228,0.01999999987152541
660,665,11:00,11:05,1,1,1,0.0,-5.13898384632941e-10,0.0,0.35711514949798584,0.01999999987152541
665,670,11:05,11:10,2,1,1,0.0,-5.13898384632941e-10,0.0,0.6138245463371277,0.01999999987152541
630,635,10:30,10:35,2,1,1,0.0,-5.13898384632941e-10,0.0,0.45603732764720917,0.01999999987152541
570,575,09:30,09:35,1,1,1,0.0,-5.13898384632941e-10,0.0,0.23405557870864868,0.01999999987152541
495,500,08:15,08:20,1,1,1,0.0,-5.13898384632941e-10,0.0,0.6971161961555481,0.01999999987152541
435,440,07:15,07:20,1,1,1,0.0,-5.13898384632941e-10,0.0,0.28383898735046387,0.01999999987152541
400,405,06:40,06:45,1,1,1,0.0,-5.13898384632941e-10,0.0,0.4390130639076233,0.01999999987152541
140,145,02:20,02:25,2,1,1,0.0,-5.13898384632941e-10,0.0,0.568249374628067,0.01999999987152541
180,185,03:00,03:05,1,1,1,0.0,-5.13898384632941e-10,0.0,0.7501462697982788,0.01999999987152541
160,165,02:40,02:45,1,1,1,0.0,-5.13898384632941e-10,0.0,0.38272252678871155,0.01999999987152541
260,265,04:20,04:25,2,1,1,0.0,-5.13898384632941e-10,0.0,0.3362526148557663,0.01999999987152541
220,225,03:40,03:45,1,1,1,0.0,-5.13898384632941e-10,0.0,0.32336241006851196,0.01999999987152541
290,295,04:50,04:55,1,1,1,0.0,-5.13898384632941e-10,0.0,0.24496310949325562,0.01999999987152541
275,280,04:35,04:40,1,1,1,0.0,-5.13898384632941e-10,0.0,0.3270447254180908,0.01999999987152541
335,340,05:35,05:40,1,1,1,0.0,-5.13898384632941e-10,0.0,0.3264939486980438,0.01999999987152541
310,315,05:10,05:15,1,1,1,0.0,-5.13898384632941e-10,0.0,0.45796170830726624,0.01999999987152541
60,65,01:00,01:05,1,1,1,0.0,-5.13898384632941e-10,0.0,0.49471908807754517,0.01999999987152541
1100,1105,18:20,18:25,1,1,1,0.0,-5.13898384632941e-10,0.0,0.3454741835594177,0.01999999987152541
1015,1020,16:55,17:00,1,1,1,0.0,-5.13898384632941e-10,0.0,0.435244619846344,0.01999999987152541
